"Protein","y_pos","cor_coef"
"4-1BB",406.549481038155,0.0658177189396698
"ARG1",1140.30000557336,0.140003675051358
"B7-H3",4260.30167576629,0.239557899838628
"Bcl-2",661.888441745779,-0.118101863932739
"Beta-2-microglobulin",820.578487482691,0.119736833036056
"CD11c",2518.00978598622,0.171525895443315
"CD127",243.342776485547,-0.0989485913352761
"CD14",1310.73458903861,-0.0323658620953764
"CD163",848.916583702348,0.137529107981112
"CD20",600.866309046661,-0.00506513394770173
"CD25",356.337642838488,0.148584890757946
"CD27",318.939119116548,0.0227839551776059
"CD3",929.384630011501,0.0296611637129006
"CD34",2509.74212925325,-0.0598318975833546
"CD4",1895.50817846502,-0.0285586578384502
"CD40",207.597290609245,0.0805447284461911
"CD44",12801.6649387126,0.0035666245466967
"CD45",3810.09280281413,0.127751477024981
"CD45RO",457.499625208988,-0.0711818052522564
"CD56",11946.9072124498,-0.028335544386989
"CD66b",4520.99500357394,0.150279912004422
"CD68",3588.47552284203,0.170684353273763
"CD8",2231.34509514605,0.0882457919885182
"CD80",230.16672815571,-0.0395304992228882
"CTLA4",274.970103664977,-0.0743278039381634
"ER-alpha",415.546846572905,0.0471307024073834
"EpCAM",42309.9755487129,-0.0985091434116778
"FAP-alpha",906.286075939766,0.15083382232983
"FOXP3",312.115540645819,0.0111999547690926
"Fibronectin",105784.762636586,-0.0297876188697788
"GITR",131.410199050129,-0.0714825788955927
"GZMB",13822.3884860858,0.147835186398966
"HLA-DR",5547.4124522092,0.167610136621498
"Her2",3629.53247120917,0.127944103811702
"ICOS",238.216367688303,0.0929364923234319
"IDO1",3706.03698281645,0.165411355467672
"Ki-67",1213.95240386902,0.236018799131127
"LAG3",179.672631505467,0.0183767953864727
"MART1",191.729172068725,-0.116031144705619
"NY-ESO-1",402.219724851213,-0.0475320241407829
"OX40L",1402.52678603311,-0.0281706164432224
"PD-1",642.191794648431,0.0244273399204956
"PD-L1",184.398824964007,0.0998636027347536
"PD-L2",305.575127481072,-0.000458440815820062
"PR",206.52224548632,-0.0649346761589083
"PTEN",370.152357788651,-0.0527869075012592
"PanCk",93360.6717584826,-0.186391468459296
"S100B",11539.528389668,-0.125300223600775
"SMA",289753.627502067,0.0336514613729019
"STING",9967.17704510067,0.0808652783218389
"Tim-3",881.903388318672,-0.121603838635518
"VISTA",1748.42213026335,0.158151835622376
